max_transition,goal_bias,goal_region,first_run_found,first_run_steps,first_run_nodes,avg_steps,avg_nodes,success_rate
3,0.05,5,True,250,148,258.4,134.0,1.0
3,0.1,5,True,160,91,179.2,102.4,1.0
3,0.15,5,True,90,43,195.6,85.8,1.0
3,0.05,10,True,341,131,201.8,108.0,1.0
3,0.1,10,True,148,77,260.0,113.0,1.0
3,0.15,10,True,125,65,129.6,70.2,1.0
3,0.05,25,True,15,16,25.6,21.4,1.0
3,0.1,25,True,67,42,33.4,25.8,1.0
3,0.15,25,True,28,22,25.8,19.8,1.0
7,0.05,5,True,207,91,90.4,45.4,1.0
7,0.1,5,True,45,30,72.0,43.2,1.0
7,0.15,5,True,58,27,96.0,45.4,1.0
7,0.05,10,True,73,42,140.2,75.2,1.0
7,0.1,10,True,86,42,88.0,46.0,1.0
7,0.15,10,True,99,47,106.4,48.0,1.0
7,0.05,25,True,40,23,52.6,24.8,1.0
7,0.1,25,True,54,30,41.4,20.8,1.0
7,0.15,25,True,39,19,44.8,19.4,1.0
15,0.05,5,True,153,75,128.6,53.6,1.0
15,0.1,5,True,113,53,168.2,79.2,1.0
15,0.15,5,True,38,20,80.4,34.8,1.0
15,0.05,10,True,40,22,67.6,30.4,1.0
15,0.1,10,True,122,54,77.0,35.0,1.0
15,0.15,10,True,19,10,77.2,37.2,1.0
15,0.05,25,True,66,31,29.6,14.6,1.0
15,0.1,25,True,56,21,34.2,13.4,1.0
15,0.15,25,True,37,17,52.8,22.0,1.0
